family,params,k,n_rows,delta_exact,phi_over_delta_exact,phi_over_delta_float,certification,charts_checked,notes
# caveat,"all rows are L3 numerical evidence, not rigorous proof of (EX)",,,,,,,,floats are decimal display only
calibration_no_center_path,a=1/100; rank_k=10; reproduces A2 k=10,10,25,1/100,7/4,1.750000000000,certified_reduction,16,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6, 7, 8, 11]; Sstar/delta=11/4; per_anchor_min=['7/4']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
one_anchor_star_edges,a=1/100; foreign=5; center=0,6,13,1/100,11/8,1.375000000000,certified_reduction,8,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 5]; Sstar/delta=19/8; per_anchor_min=['11/8']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
one_anchor_star_edges,a=1/100; foreign=9; center=0,10,25,1/100,23/16,1.437500000000,certified_reduction,16,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; Sstar/delta=39/16; per_anchor_min=['23/16']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
one_anchor_star_edges,a=1/100; foreign=13; center=0,14,37,1/100,35/24,1.458333333333,certified_reduction,24,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]; Sstar/delta=59/24; per_anchor_min=['35/24']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
one_anchor_star_edges,a=1/100; foreign=19; center=0,20,55,1/100,53/36,1.472222222222,certified_reduction,36,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]; Sstar/delta=89/36; per_anchor_min=['53/36']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
one_anchor_complete_edges,a=1/100; foreign=4; all unordered edges with signs,5,16,1/100,3/2,1.500000000000,certified_reduction,12,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4]; Sstar/delta=5/2; per_anchor_min=['3/2']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
one_anchor_complete_edges,a=1/100; foreign=6; all unordered edges with signs,7,36,1/100,5/3,1.666666666667,certified_reduction,30,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6]; Sstar/delta=8/3; per_anchor_min=['5/3']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
one_anchor_complete_edges,a=1/100; foreign=8; all unordered edges with signs,9,64,1/100,7/4,1.750000000000,certified_reduction,56,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6, 7, 8]; Sstar/delta=11/4; per_anchor_min=['7/4']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
one_anchor_complete_edges,a=1/100; foreign=10; all unordered edges with signs,11,100,1/100,9/5,1.800000000000,certified_reduction,90,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]; Sstar/delta=14/5; per_anchor_min=['9/5']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
