family,params,k,n_rows,delta_exact,under_cap,phi_over_delta_exact,sum_phi_over_delta_exact,active_pivots_gt_delta_half,max_E_over_delta_exact,V_over_delta_exact,certification,charts_checked,notes
# caveat,"all rows are L3 numerical evidence, not rigorous proof of (EX)",,,,,,,,,,,,exact fields are rational strings; no float fields are certified evidence
two_anchor_overlapping_stars,"a=1/100; foreign=5; centers=0,4",7,21,1/100,True,11/8,11/4,2,2,0,certified_reduction,64,"basis=[0, 1, 2, 3, 4, 5, 13]; per_anchor_min=['11/8', '11/8']; Hadamard 4*R2*a^2=1/1250<1/4; BL=True; P2_via_BL=True; rowsum=True; DEF=True"
multi_anchor_repeated_star,a=1/100; foreign=5; anchors=3; repeated center=0 star,8,29,1/100,True,11/8,33/8,3,2,0,certified_reduction,512,"basis=[0, 1, 2, 3, 4, 5, 13, 21]; per_anchor_min=['11/8', '11/8', '11/8']; Hadamard 4*R2*a^2=1/1250<1/4; BL=True; P2_via_BL=True; rowsum=True; DEF=True"
multi_anchor_repeated_star,a=1/100; foreign=5; anchors=5; repeated center=0 star,10,45,1/100,True,11/8,55/8,5,2,0,certified_reduction,32768,"basis=[0, 1, 2, 3, 4, 5, 13, 21, 29, 37]; per_anchor_min=['11/8', '11/8', '11/8', '11/8', '11/8']; Hadamard 4*R2*a^2=1/1250<1/4; BL=True; P2_via_BL=True; rowsum=True; DEF=True"
two_anchor_complete_vs_star,a=1/100; foreign=4; anchor0=complete; anchor1=star(center=0),6,22,1/100,True,3/2,17/6,2,2,0,certified_reduction,72,"basis=[0, 1, 2, 3, 4, 16]; per_anchor_min=['3/2', '4/3']; Hadamard 4*R2*a^2=1/1250<1/4; BL=True; P2_via_BL=True; rowsum=True; DEF=True"
two_anchor_complete_vs_star,a=1/100; foreign=8; anchor0=complete; anchor1=star(center=0),10,78,1/100,True,7/4,89/28,2,2,0,certified_reduction,784,"basis=[0, 1, 2, 3, 4, 5, 6, 7, 8, 64]; per_anchor_min=['7/4', '10/7']; Hadamard 4*R2*a^2=1/1250<1/4; BL=True; P2_via_BL=True; rowsum=True; DEF=True"
archived_staircase,"original B6 normalization, outside cap; m=5; a=1/2; eps=1/1000; u=1/10",11,13,1/2,False,1,5005003/1000000,5,10,1/500000,full_enumeration,23,"basis=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]; nonzero_phi=['1', '1', '1', '1', '1', '5003/1000000']; BL=True; P2=True; rowsum=True; DEF=True"
balanced_staircase_m5,balanced dual scale; m=5; a=1/5; eps=1/1000; u=5/33,11,13,13/33,False,26000099/26000000,7384623/2000000,6,66/13,33/13000000,full_enumeration,3,"basis=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]; nonzero_phi=['7/13', '7/13', '7/13', '7/13', '7/13', '26000099/26000000']; BL=True; P2=True; rowsum=True; DEF=True"
balanced_staircase_m5,balanced dual scale; m=5; a=1/6; eps=1/1000; u=15/92,11,13,35/92,False,17500069/17500000,55000069/17500000,1,92/21,23/8750000,full_enumeration,3,"basis=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]; nonzero_phi=['3/7', '3/7', '3/7', '3/7', '3/7', '17500069/17500000']; BL=True; P2=True; rowsum=True; DEF=True"
balanced_staircase_m5,balanced dual scale; m=5; a=1/8; eps=1/1000; u=10/57,11,13,20/57,False,40000171/40000000,90000171/40000000,1,57/16,57/20000000,full_enumeration,3,"basis=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]; nonzero_phi=['1/4', '1/4', '1/4', '1/4', '1/4', '40000171/40000000']; BL=True; P2=True; rowsum=True; DEF=True"
