name,family,n,delta,U,m,s,r,B,SUM_carriers,R,carriers
G12-calibration,known,5,1/4,0 1 2,1,2,0,0,0,,
G12-calibration,known,5,1/4,0 1 2,1,2,1,2/57,8/513,9/4,"i=4:beta=40/57,a_s=-1/20,nu=1/45,inad=True"
insert-y=681/10000,known,6,55319/1000000,0 2 4,197/200,2,0,0,0,,
insert-y=681/10000,known,6,55319/1000000,0 2 4,197/200,2,1,42/985,18664233/500000000,200000000/175088281,"i=3:beta=7/10,a_s=-12/197,nu=2666319/50000000,inad=True"
two-carrier-B,known,5,99/1250,0 2 4,99/100,2,0,0,0,,
two-carrier-B,known,5,99/1250,0 2 4,99/100,2,1,3/50,53757/2500000,50000/17919,"i=3:beta=33/50,a_s=-1/11,nu=1629/50000,inad=True"
amplifier-family-balance-rational,amplifier-family,6,590855669597640985598471/10775740230179796072754000,0 1 3,49/50,2,0,0,0,,
amplifier-family-balance-rational,amplifier-family,6,590855669597640985598471/10775740230179796072754000,0 1 3,49/50,2,1,5/392,11162769152609567/1162176368908240000,14823678174850000/11162769152609567,"i=4:beta=1/2,a_s=-5/196,nu=11162769152609567/581088184454120000,inad=True"
amplifier-family-balance-rational,amplifier-family,6,590855669597640985598471/10775740230179796072754000,0 2 4,197/200,2,0,0,0,,
amplifier-family-balance-rational,amplifier-family,6,590855669597640985598471/10775740230179796072754000,0 2 4,197/200,2,1,42/985,5598453770582673/148236781748500000,59294712699400000/52518828228799361,"i=3:beta=7/10,a_s=-12/197,nu=799779110083239/14823678174850000,inad=True"
direct-zero-den-refuter,direct-R-two-carrier,5,20099999/4040100000,0 3 4,1,0,1,1/4020000000,0,INF,"i=1:beta=40399/4020000000,a_s=-1/40399,nu=0,inad=True"
direct-zero-den-refuter,direct-R-two-carrier,5,20099999/4040100000,0 3 4,1,0,2,20099999/808020000000,812019859601/32482404000000000000,40200000/40399,"i=1:beta=1622407559203/1616040000000,a_s=-1/40399,nu=0,inad=True; i=2:beta=40399/8040000000,a_s=-201/40399,nu=20099999/4040100000,inad=True"
direct-zero-den-refuter,direct-R-two-carrier,5,20099999/4040100000,0 3 4,1,1,0,0,0,,
direct-zero-den-refuter,direct-R-two-carrier,5,20099999/4040100000,0 3 4,1,1,2,0,0,,
direct-zero-den-refuter,direct-R-two-carrier,5,20099999/4040100000,0 3 4,1,2,0,0,0,,
direct-zero-den-refuter,direct-R-two-carrier,5,20099999/4040100000,0 3 4,1,2,1,0,0,,
three-carrier-zero-den-refuter,multi-carrier-clone-split,7,20099999/4040100000,0 3 4,1,0,1,1/4020000000,0,INF,"i=1:beta=40399/12060000000,a_s=-1/40399,nu=0,inad=True; i=5:beta=40399/12060000000,a_s=-1/40399,nu=0,inad=True; i=6:beta=40399/12060000000,a_s=-1/40399,nu=0,inad=True"
three-carrier-zero-den-refuter,multi-carrier-clone-split,7,20099999/4040100000,0 3 4,1,0,2,20099999/808020000000,812019859601/32482404000000000000,40200000/40399,"i=1:beta=1622407559203/4848120000000,a_s=-1/40399,nu=0,inad=True; i=2:beta=40399/8040000000,a_s=-201/40399,nu=20099999/4040100000,inad=True; i=5:beta=1622407559203/4848120000000,a_s=-1/40399,nu=0,inad=True; i=6:beta=1622407559203/4848120000000,a_s=-1/40399,nu=0,inad=True"
three-carrier-zero-den-refuter,multi-carrier-clone-split,7,20099999/4040100000,0 3 4,1,1,0,0,0,,
three-carrier-zero-den-refuter,multi-carrier-clone-split,7,20099999/4040100000,0 3 4,1,1,2,0,0,,
three-carrier-zero-den-refuter,multi-carrier-clone-split,7,20099999/4040100000,0 3 4,1,2,0,0,0,,
three-carrier-zero-den-refuter,multi-carrier-clone-split,7,20099999/4040100000,0 3 4,1,2,1,0,0,,
