source,name,family,n,delta,theta_count,U,s,r,J,B,D,S,D_over_B,D_over_delta,negative_coefficients
bundle,bundle-0:shape-a=6332623/370881409,variable-insert-shape-boundary,6,590855669597640985598471/10775740230179796072754000,8,"[0, 1, 3]",2,0,[],0,0,0,,0,[]
bundle,bundle-0:shape-a=6332623/370881409,variable-insert-shape-boundary,6,590855669597640985598471/10775740230179796072754000,8,"[0, 1, 3]",2,1,[4],5/392,29/4480,29/4480,203/400,19242393268178207272775/162994667475211306371992,[]
bundle,bundle-0:shape-a=6332623/370881409,variable-insert-shape-boundary,6,590855669597640985598471/10775740230179796072754000,8,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
bundle,bundle-0:shape-a=6332623/370881409,variable-insert-shape-boundary,6,590855669597640985598471/10775740230179796072754000,8,"[0, 2, 4]",2,1,[3],42/985,3297/246250,3297/246250,157/500,142110462155611150607479752/581992834553676370814493935,[]
bundle,bundle-1:n=7-duplicate-split,multi-insert-duplicate,7,590855669597640985598471/10775740230179796072754000,12,"[0, 1, 3]",2,0,[],0,0,0,,0,[]
bundle,bundle-1:n=7-duplicate-split,multi-insert-duplicate,7,590855669597640985598471/10775740230179796072754000,12,"[0, 1, 3]",2,1,[4],5/392,29/4480,29/4480,203/400,19242393268178207272775/162994667475211306371992,[]
bundle,bundle-1:n=7-duplicate-split,multi-insert-duplicate,7,590855669597640985598471/10775740230179796072754000,12,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
bundle,bundle-1:n=7-duplicate-split,multi-insert-duplicate,7,590855669597640985598471/10775740230179796072754000,12,"[0, 2, 4]",2,1,[3],42/985,3297/246250,3297/246250,157/500,142110462155611150607479752/581992834553676370814493935,[]
bundle,bundle-2:n=9-duplicate-split,multi-insert-duplicate,9,590855669597640985598471/10775740230179796072754000,20,"[0, 1, 3]",2,0,[],0,0,0,,0,[]
bundle,bundle-2:n=9-duplicate-split,multi-insert-duplicate,9,590855669597640985598471/10775740230179796072754000,20,"[0, 1, 3]",2,1,[4],5/392,29/4480,29/4480,203/400,19242393268178207272775/162994667475211306371992,[]
bundle,bundle-2:n=9-duplicate-split,multi-insert-duplicate,9,590855669597640985598471/10775740230179796072754000,20,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
bundle,bundle-2:n=9-duplicate-split,multi-insert-duplicate,9,590855669597640985598471/10775740230179796072754000,20,"[0, 2, 4]",2,1,[3],42/985,3297/246250,3297/246250,157/500,142110462155611150607479752/581992834553676370814493935,[]
bundle,bundle-3:shape-a=699134/40946035,variable-insert-shape-boundary,6,240056644205627653309/4378037093644339853000,8,"[0, 1, 3]",2,0,[],0,0,0,,0,[]
bundle,bundle-3:shape-a=699134/40946035,variable-insert-shape-boundary,6,240056644205627653309/4378037093644339853000,8,"[0, 1, 3]",2,1,[4],5/392,29/4480,29/4480,203/400,15635846763015499475/132445045078966981136,[]
bundle,bundle-3:shape-a=699134/40946035,variable-insert-shape-boundary,6,240056644205627653309/4378037093644339853000,8,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
bundle,bundle-3:shape-a=699134/40946035,variable-insert-shape-boundary,6,240056644205627653309/4378037093644339853000,8,"[0, 2, 4]",2,1,[3],42/985,3297/246250,3297/246250,157/500,57737553190981553981364/236455794542543238509365,[]
bundle,bundle-4:shape-a=40417/2367094,variable-insert-shape-boundary,6,5083897521949/92717666720000,8,"[0, 1, 3]",2,0,[],0,0,0,,0,[]
bundle,bundle-4:shape-a=40417/2367094,variable-insert-shape-boundary,6,5083897521949/92717666720000,8,"[0, 1, 3]",2,1,[4],5/392,29/4480,29/4480,203/400,600181324750/5083897521949,[]
bundle,bundle-4:shape-a=40417/2367094,variable-insert-shape-boundary,6,5083897521949/92717666720000,8,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
bundle,bundle-4:shape-a=40417/2367094,variable-insert-shape-boundary,6,5083897521949/92717666720000,8,"[0, 2, 4]",2,1,[3],42/985,3297/246250,3297/246250,157/500,244552117740672/1001527811823953,[]
bundle,bundle-5:shape-a=8537/500000,variable-insert-shape-boundary,6,214773927937/3916940577200,8,"[0, 1, 3]",2,0,[],0,0,0,,0,[]
bundle,bundle-5:shape-a=8537/500000,variable-insert-shape-boundary,6,214773927937/3916940577200,8,"[0, 1, 3]",2,1,[4],5/392,29/4480,29/4480,203/400,202841565605/1718191423496,[]
bundle,bundle-5:shape-a=8537/500000,variable-insert-shape-boundary,6,214773927937/3916940577200,8,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
bundle,bundle-5:shape-a=8537/500000,variable-insert-shape-boundary,6,214773927937/3916940577200,8,"[0, 2, 4]",2,1,[3],42/985,3297/246250,3297/246250,157/500,258283061660568/1057761595089725,[]
bundle,bundle-6:shape-a=1/60,variable-insert-shape-boundary,6,25785673/470027600,8,"[0, 1, 3]",2,0,[],0,0,0,,0,[]
bundle,bundle-6:shape-a=1/60,variable-insert-shape-boundary,6,25785673/470027600,8,"[0, 1, 3]",2,1,[4],5/392,29/4480,29/4480,203/400,24340715/206285384,[]
